Image name,Width,Height,xmin,ymin,xmax,ymax,Class
15/A2_1.png,768,574,454,171,515,207,medium
15/A2_1.png,768,574,515,290,575,324,low
15/A2_1.png,768,574,271,381,336,419,medium
15/A2_1.png,768,574,254,451,314,492,low
15/A2_1.png,768,574,372,461,426,493,low
15/A2_1.png,768,574,361,493,422,538,low
15/A2_1.png,768,574,228,385,272,429,medium
15/A2_1.png,768,574,183,386,228,432,low
15/A2_10.png,768,574,280,32,341,77,low
15/A2_10.png,768,574,241,156,299,196,low
15/A2_10.png,768,574,370,192,446,238,high
15/A2_10.png,768,574,314,300,376,344,low
15/A2_10.png,768,574,434,300,490,337,low
15/A2_10.png,768,574,691,333,759,371,low
15/A2_10.png,768,574,66,350,122,385,low
15/A2_11.png,768,574,318,0,379,39,low
15/A2_11.png,768,574,261,137,323,181,low
15/A2_11.png,768,574,538,146,592,192,low
15/A2_11.png,768,574,602,171,654,216,low
15/A2_11.png,768,574,4,175,71,216,low
15/A2_11.png,768,574,383,197,446,239,low
15/A2_11.png,768,574,38,226,102,267,medium
15/A2_11.png,768,574,24,293,83,328,low
15/A2_11.png,768,574,333,308,391,342,low
15/A2_11.png,768,574,669,328,734,372,low
15/A2_11.png,768,574,643,367,711,411,medium
15/A2_11.png,768,574,33,376,92,407,medium
15/A2_11.png,768,574,190,387,251,430,medium
15/A2_11.png,768,574,351,463,410,495,low
15/A2_2.png,768,574,78,0,120,33,low
15/A2_2.png,768,574,616,19,697,64,high
15/A2_2.png,768,574,202,21,265,63,low
15/A2_2.png,768,574,457,108,516,146,low
15/A2_2.png,768,574,136,120,186,164,low
15/A2_2.png,768,574,246,139,306,174,low
15/A2_2.png,768,574,529,139,578,185,low
15/A2_2.png,768,574,706,269,764,300,low
15/A2_2.png,768,574,712,310,768,350,low
15/A2_2.png,768,574,115,369,168,403,low
15/A2_2.png,768,574,69,449,125,486,low
15/A2_2.png,768,574,257,478,320,517,medium
15/A2_3.png,768,574,682,34,743,75,low
15/A2_3.png,768,574,25,207,98,255,medium
15/A2_3.png,768,574,573,276,629,324,low
15/A2_3.png,768,574,52,320,117,363,low
15/A2_3.png,768,574,318,395,376,443,low
15/A2_3.png,768,574,7,406,82,452,medium
15/A2_3.png,768,574,116,490,168,531,low
15/A2_4.png,768,574,241,103,297,139,low
15/A2_4.png,768,574,396,120,473,171,high
15/A2_4.png,768,574,411,192,471,225,low
15/A2_4.png,768,574,530,235,588,269,medium
15/A2_4.png,768,574,690,265,749,297,low
15/A2_4.png,768,574,325,407,385,448,low
15/A2_4.png,768,574,73,422,132,462,medium
15/A2_4.png,768,574,82,452,130,490,low
15/A2_4.png,768,574,342,458,401,496,low
15/A2_4.png,768,574,691,519,746,552,low
15/A2_9.png,768,574,127,18,183,63,low
15/A2_9.png,768,574,257,28,302,64,low
15/A2_9.png,768,574,7,113,47,151,low
15/A2_9.png,768,574,577,118,620,153,low
15/A2_9.png,768,574,573,153,618,188,low
15/A2_9.png,768,574,50,195,95,235,low
15/A2_9.png,768,574,69,250,109,277,low
15/A2_9.png,768,574,7,306,50,340,low
15/A2_9.png,768,574,17,388,76,429,low
15/A2_9.png,768,574,497,394,547,426,low
15/A2_9.png,768,574,240,396,307,429,medium
15/A2_9.png,768,574,551,423,612,455,low
15/A2_9.png,768,574,679,507,730,547,low
15/B2_1.png,768,574,624,12,690,54,low
15/B2_1.png,768,574,38,175,97,208,low
15/B2_1.png,768,574,77,199,136,241,low
15/B2_1.png,768,574,664,285,723,316,medium
15/B2_1.png,768,574,547,345,604,381,low
15/B2_1.png,768,574,452,386,511,420,medium
15/B2_1.png,768,574,296,393,351,439,low
15/B2_1.png,768,574,714,429,764,468,low
15/B2_1.png,768,574,543,442,620,476,low
15/B2_1.png,768,574,0,530,31,564,low
15/B2_10.png,768,574,179,112,223,148,low
15/B2_10.png,768,574,401,105,466,158,low
15/B2_10.png,768,574,268,155,340,204,medium
15/B2_10.png,768,574,631,174,678,226,low
15/B2_10.png,768,574,675,214,751,264,medium
15/B2_10.png,768,574,623,327,687,371,medium
15/B2_10.png,768,574,375,405,436,446,low
15/B2_10.png,768,574,552,467,607,508,low
15/B2_11.png,768,574,292,0,335,32,low
15/B2_11.png,768,574,47,72,90,107,low
15/B2_11.png,768,574,540,105,599,138,medium
15/B2_11.png,768,574,359,163,421,199,low
15/B2_11.png,768,574,246,305,295,347,low
15/B2_11.png,768,574,594,392,648,424,low
15/B2_11.png,768,574,710,426,768,462,medium
15/B2_11.png,768,574,231,494,295,527,medium
15/B2_11.png,768,574,50,500,127,553,high
15/B2_11.png,768,574,184,538,225,564,low
15/B2_2.png,768,574,536,167,599,210,low
15/B2_2.png,768,574,698,230,761,268,medium
15/B2_2.png,768,574,376,325,439,360,low
15/B2_2.png,768,574,369,372,431,414,low
15/B2_2.png,768,574,20,461,77,503,low
15/B2_2.png,768,574,464,461,518,493,low
15/B2_2.png,768,574,138,512,198,559,low
15/B2_2.png,768,574,41,534,85,567,low
15/B2_3.png,768,574,64,9,112,52,low
15/B2_3.png,768,574,364,71,429,106,medium
15/B2_3.png,768,574,14,121,57,155,low
15/B2_3.png,768,574,26,257,92,303,low
15/B2_3.png,768,574,578,260,642,293,low
15/B2_3.png,768,574,490,341,558,381,low
15/B2_3.png,768,574,131,396,186,438,low
15/B2_3.png,768,574,413,435,466,470,low
15/B2_3.png,768,574,667,504,730,537,low
15/B2_3.png,768,574,93,535,154,574,low
15/B2_4.png,768,574,597,38,649,75,medium
15/B2_4.png,768,574,2,240,64,284,low
15/B2_4.png,768,574,438,288,480,321,low
15/B2_4.png,768,574,631,303,673,349,low
15/B2_4.png,768,574,587,367,643,404,low
15/B2_4.png,768,574,714,413,768,451,low
15/B2_6.png,768,574,536,11,572,47,low
15/B2_6.png,768,574,287,70,353,115,low
15/B2_6.png,768,574,386,113,451,156,medium
15/B2_6.png,768,574,429,150,523,197,high
15/B2_6.png,768,574,251,191,335,234,medium
15/B2_6.png,768,574,243,299,303,339,medium
15/B2_6.png,768,574,330,305,394,339,low
15/B2_6.png,768,574,414,417,469,461,low
15/B2_6.png,768,574,29,473,91,506,low
15/B2_6.png,768,574,0,477,34,511,low
15/B2_7.png,768,574,355,23,404,68,low
15/B2_7.png,768,574,182,26,224,61,low
15/B2_7.png,768,574,31,41,86,73,low
15/B2_7.png,768,574,467,104,525,145,low
15/B2_7.png,768,574,565,211,621,248,medium
15/B2_7.png,768,574,206,263,253,305,low
15/B2_7.png,768,574,146,301,207,338,low
15/B2_7.png,768,574,382,304,436,336,low
15/B2_7.png,768,574,132,342,190,377,low
15/B2_7.png,768,574,506,373,563,404,low
15/B2_7.png,768,574,700,392,760,430,low
15/B2_7.png,768,574,170,438,230,476,low
15/B2_7.png,768,574,323,505,380,542,low
15/B2_7.png,768,574,223,513,282,553,high
15/C2_1.png,768,574,630,15,678,48,low
15/C2_1.png,768,574,674,116,726,160,low
15/C2_1.png,768,574,672,145,731,187,medium
15/C2_1.png,768,574,702,188,765,227,low
15/C2_1.png,768,574,54,214,115,249,medium
15/C2_1.png,768,574,272,393,353,447,high
15/C2_1.png,768,574,457,418,514,453,low
15/C2_2.png,768,574,119,65,181,101,low
15/C2_2.png,768,574,634,112,715,159,medium
15/C2_2.png,768,574,0,156,49,194,low
15/C2_2.png,768,574,209,221,263,267,low
15/C2_2.png,768,574,419,324,481,370,low
15/C2_2.png,768,574,274,331,332,377,low
15/C2_2.png,768,574,252,392,315,429,low
15/C2_2.png,768,574,57,411,130,463,low
15/C2_2.png,768,574,385,442,447,478,low
15/C2_2.png,768,574,178,470,245,504,low
15/C2_2.png,768,574,22,479,79,516,low
15/C2_2.png,768,574,583,489,629,524,low
15/C2_3.png,768,574,323,32,382,76,low
15/C2_3.png,768,574,607,55,671,94,medium
15/C2_3.png,768,574,555,145,599,179,low
15/C2_3.png,768,574,357,216,418,265,low
15/C2_3.png,768,574,521,255,606,300,medium
15/C2_3.png,768,574,730,313,768,345,low
15/C2_3.png,768,574,147,504,214,532,low
15/C2_4.png,768,574,650,43,692,76,low
15/C2_4.png,768,574,571,50,634,94,low
15/C2_4.png,768,574,489,110,577,151,low
15/C2_4.png,768,574,152,120,206,161,low
15/C2_4.png,768,574,114,166,172,202,low
15/C2_4.png,768,574,635,176,697,220,low
15/C2_4.png,768,574,91,247,150,281,low
15/C2_4.png,768,574,722,294,765,329,low
15/C2_4.png,768,574,19,358,76,401,low
15/C2_4.png,768,574,588,443,649,488,low
15/C2_4.png,768,574,651,501,702,536,low
15/C2_4.png,768,574,208,503,269,535,medium
15/C2_4.png,768,574,683,520,748,559,low
15/C2_7.png,768,574,200,77,317,136,medium
15/C2_7.png,768,574,481,93,542,135,low
15/C2_7.png,768,574,537,140,601,190,low
15/C2_7.png,768,574,169,182,231,225,low
15/C2_7.png,768,574,322,188,383,221,low
15/C2_7.png,768,574,234,292,298,327,medium
15/C2_7.png,768,574,634,362,701,400,low
15/C2_7.png,768,574,179,424,229,463,low
15/C2_7.png,768,574,90,451,153,499,low
15/C2_7.png,768,574,185,487,245,520,low
15/C2_7.png,768,574,639,490,697,535,low
15/C2_7.png,768,574,176,541,237,574,low
15/C2_9.png,768,574,169,106,236,152,low
15/C2_9.png,768,574,107,117,159,160,low
15/C2_9.png,768,574,50,129,96,167,low
15/C2_9.png,768,574,595,143,686,196,high
15/C2_9.png,768,574,420,288,485,327,low
15/C2_9.png,768,574,103,329,154,365,low
15/C2_9.png,768,574,230,358,277,400,low
15/C2_9.png,768,574,579,383,643,421,high
15/D2_10.png,768,574,519,11,577,53,low
15/D2_10.png,768,574,207,18,263,52,low
15/D2_10.png,768,574,33,168,98,209,low
15/D2_10.png,768,574,98,177,161,214,medium
15/D2_10.png,768,574,624,196,681,238,low
15/D2_10.png,768,574,601,234,649,268,low
15/D2_10.png,768,574,646,275,705,317,low
15/D2_10.png,768,574,334,281,393,316,low
15/D2_10.png,768,574,45,282,104,321,low
15/D2_10.png,768,574,611,419,680,459,medium
15/D2_10.png,768,574,410,493,454,526,low
15/D2_11.png,768,574,711,0,768,34,low
15/D2_11.png,768,574,625,18,697,63,low
15/D2_11.png,768,574,90,22,154,54,low
15/D2_11.png,768,574,246,77,292,112,low
15/D2_11.png,768,574,191,83,236,124,low
15/D2_11.png,768,574,613,130,670,168,low
15/D2_11.png,768,574,688,181,747,222,medium
15/D2_11.png,768,574,96,194,137,228,low
15/D2_11.png,768,574,323,214,380,268,low
15/D2_11.png,768,574,472,223,514,257,low
15/D2_11.png,768,574,395,224,470,267,low
15/D2_11.png,768,574,14,246,77,283,low
15/D2_11.png,768,574,92,260,156,302,low
15/D2_11.png,768,574,186,261,241,304,low
15/D2_11.png,768,574,185,318,236,353,low
15/D2_11.png,768,574,314,417,367,455,low
15/D2_11.png,768,574,613,417,674,462,low
15/D2_11.png,768,574,526,486,585,519,medium
15/D2_11.png,768,574,257,539,318,572,medium
15/D2_3.png,768,574,0,84,64,131,low
15/D2_3.png,768,574,589,115,656,161,low
15/D2_3.png,768,574,403,317,452,356,low
15/D2_3.png,768,574,668,410,735,458,low
15/D2_4.png,768,574,208,40,272,83,medium
15/D2_4.png,768,574,265,40,325,77,low
15/D2_4.png,768,574,364,100,419,142,low
15/D2_4.png,768,574,238,168,294,204,low
15/D2_4.png,768,574,374,181,427,203,medium
15/D2_4.png,768,574,406,207,468,251,low
15/D2_4.png,768,574,536,257,598,288,low
15/D2_4.png,768,574,49,274,109,318,low
15/D2_4.png,768,574,222,324,280,358,low
15/D2_4.png,768,574,606,362,666,406,low
15/D2_4.png,768,574,414,452,469,495,medium
15/D2_4.png,768,574,48,465,93,502,low
15/D2_4.png,768,574,440,480,498,516,low
15/D2_4.png,768,574,686,499,736,537,low
15/D2_5.png,768,574,41,22,83,56,low
15/D2_5.png,768,574,122,77,176,124,low
15/D2_5.png,768,574,439,78,499,119,low
15/D2_5.png,768,574,292,176,336,209,low
15/D2_5.png,768,574,407,188,468,226,low
15/D2_5.png,768,574,364,268,408,315,low
15/D2_5.png,768,574,11,246,65,288,low
15/D2_5.png,768,574,405,300,466,347,low
15/D2_5.png,768,574,280,327,332,369,low
15/D2_5.png,768,574,465,402,524,441,low
15/D2_5.png,768,574,16,445,77,486,low
15/D2_5.png,768,574,225,473,271,508,low
15/D2_5.png,768,574,260,497,324,537,low
15/D2_8.png,768,574,377,29,450,74,low
15/D2_8.png,768,574,255,36,316,89,low
15/D2_8.png,768,574,574,86,642,135,low
15/D2_8.png,768,574,536,121,597,157,low
15/D2_8.png,768,574,457,129,524,175,low
15/D2_8.png,768,574,399,333,482,395,high
15/D2_8.png,768,574,469,288,523,324,low
15/D2_8.png,768,574,584,350,646,390,low
15/D2_8.png,768,574,230,403,295,451,low
15/D2_9.png,768,574,641,26,705,68,low
15/D2_9.png,768,574,236,64,281,98,low
15/D2_9.png,768,574,655,74,709,105,low
15/D2_9.png,768,574,355,130,417,167,low
15/D2_9.png,768,574,443,189,506,232,low
15/D2_9.png,768,574,290,198,334,240,low
15/D2_9.png,768,574,412,241,470,277,low
15/D2_9.png,768,574,40,320,98,357,low
15/D2_9.png,768,574,107,391,165,431,low
15/D2_9.png,768,574,407,492,470,535,medium
15/D2_9.png,768,574,213,501,273,533,low
15/D2_9.png,768,574,470,502,535,546,low
0/A1_11.png,768,574,512,236,550,285,low
0/A1_12.png,768,574,509,465,570,519,low
0/A1_2.png,768,574,500,167,561,209,low
0/B1_11.png,768,574,412,219,478,262,low
0/B1_11.png,768,574,589,452,649,493,low
0/B1_5.png,768,574,670,79,719,130,low
0/B1_7.png,768,574,685,40,748,88,medium
0/B1_7.png,768,574,608,204,668,250,low
0/B1_7.png,768,574,680,517,732,555,low
0/B1_8.png,768,574,484,24,550,74,low
0/C1_1.png,768,574,366,121,434,178,medium
0/C1_1.png,768,574,69,136,131,181,low
0/C1_11.png,768,574,245,514,322,574,medium
0/C1_12.png,768,574,146,259,206,304,low
0/C1_2.png,768,574,4,506,54,550,low
0/C1_7.png,768,574,712,326,763,361,low
0/C1_7.png,768,574,700,400,760,436,high
0/C1_7.png,768,574,383,465,440,498,low
0/C1_8.png,768,574,479,27,546,67,medium
0/C1_8.png,768,574,685,157,736,195,low
0/C1_8.png,768,574,447,497,495,531,low
0/D1_12.png,768,574,55,305,101,367,low
0/D1_2.png,768,574,121,248,187,301,low
0/D1_4.png,768,574,563,241,621,294,low
0/D1_8.png,768,574,583,372,620,410,low
0/D1_9.png,768,574,181,222,229,264,low
0/D1_9.png,768,574,552,308,619,357,low
18/A3_1.png,768,574,166,39,240,82,high
18/A3_1.png,768,574,354,131,435,178,high
18/A3_1.png,768,574,592,207,638,240,low
18/A3_1.png,768,574,332,239,404,283,medium
18/A3_1.png,768,574,160,254,228,295,high
18/A3_1.png,768,574,510,254,553,288,low
18/A3_1.png,768,574,343,306,412,352,low
18/A3_1.png,768,574,433,328,510,377,medium
18/A3_1.png,768,574,548,372,590,405,low
18/A3_1.png,768,574,256,377,332,410,high
18/A3_1.png,768,574,473,405,515,437,low
18/A3_1.png,768,574,492,435,534,467,low
18/A3_1.png,768,574,1,442,44,475,low
18/A3_1.png,768,574,520,457,561,493,low
18/A3_1.png,768,574,194,494,235,528,low
18/A3_1.png,768,574,418,523,474,555,low
18/A3_1.png,768,574,83,544,125,574,low
18/A3_1.png,768,574,39,417,157,471,high
18/A3_10.png,768,574,372,20,435,60,low
18/A3_10.png,768,574,548,45,591,79,low
18/A3_10.png,768,574,299,55,380,84,low
18/A3_10.png,768,574,32,102,89,132,medium
